Country,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Russian Federation,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.0,2.0,3.0,2.0,2.0,5.0,-1.0,5.0,3.0
Rwanda,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,1.0,2.0,2.0,4.0,2.0,5.0,1.0,3.0
Saint Barthélemy,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Saint Helena,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Saint Martin (French Part),"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Samoa,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
"São Tomé and Príncipe, Dem. Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
Saudi Arabia,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,-1.0,2.0,3.0,1.0,-1.0,3.0,1.0,-1.0,-1.0
Senegal,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
Serbia and Montenegro,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"Serbia, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",2.0,5.0,-1.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0
Seychelles,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Sierra Leone,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,1.0,-1.0,1.0,-1.0,2.0,-1.0,-1.0,1.0
"Sint Maarten, Kingdom of the Netherlands","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Slovak Rep.,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
"Slovenia, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0
Solomon Islands,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,3.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
Somalia,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,2.0,5.0,1.0,-1.0,2.0,3.0,4.0,1.0,1.0
South Africa,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,1.0,3.0,5.0,-1.0,6.0,2.0,4.0,8.0
