Country,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Spain,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.0,2.0,1.0,2.0,4.0,8.0,1.0,3.0,2.0
Sri Lanka,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,7.0,2.0,2.0,3.0,3.0,6.0,3.0,5.0,5.0
Sudan,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0
Switzerland,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.0,1.5,1.5,1.5,1.0,1.0,1.0,3.0,1.5
Syrian Arab Rep.,"Climate related disasters frequency, Number of Disasters: TOTAL",1.4,1.4,2.0,1.4,1.4,1.4,1.0,1.0,2.0,1.0
Taiwan Province of China,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0
"Tajikistan, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.5555555555555556
"Tanzania, United Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",2.4444444444444446,2.0,2.0,3.0,1.0,1.0,5.0,4.0,3.0,1.0
Thailand,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,7.0,2.0,4.0,6.0,5.444444444444445,3.0,7.0,6.0,11.0
Tonga,"Climate related disasters frequency, Number of Disasters: TOTAL",1.4,1.0,1.0,3.0,1.4,1.0,1.4,1.0,1.4,1.4
Tunisia,"Climate related disasters frequency, Number of Disasters: TOTAL",1.4,1.4,1.4,1.4,1.0,2.0,1.4,1.0,2.0,1.0
"Türkiye, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,2.375,2.0,2.375,1.0,1.0,3.0,5.0,3.0,3.0
Uganda,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,3.375,3.375,2.0,1.0,1.0,8.0,6.0,3.0,5.0
Ukraine,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.5,1.5,2.0,1.0,1.0,1.5,3.0,1.0,1.5
United Kingdom,"Climate related disasters frequency, Number of Disasters: TOTAL",5.0,2.0,2.0,2.6666666666666665,1.0,2.0,3.0,3.0,1.0,5.0
United States,"Climate related disasters frequency, Number of Disasters: TOTAL",28.0,19.0,29.0,26.0,24.0,19.0,20.0,23.0,43.0,25.0
Uruguay,"Climate related disasters frequency, Number of Disasters: TOTAL",1.7142857142857142,1.7142857142857142,3.0,1.0,1.0,1.0,3.0,2.0,1.7142857142857142,1.0
"Venezuela, Rep. Bolivariana de","Climate related disasters frequency, Number of Disasters: TOTAL",2.2857142857142856,2.2857142857142856,1.0,1.0,2.2857142857142856,2.0,1.0,1.0,2.0,8.0
Vietnam,"Climate related disasters frequency, Number of Disasters: TOTAL",10.0,3.0,5.0,8.0,9.0,7.0,8.0,11.0,8.0,8.0
"Yemen, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,2.3333333333333335,2.0,2.0,1.0,2.0,3.0,5.0,2.0,3.0
Zambia,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,1.5,1.5,1.5,1.5,2.0,3.0,1.0,1.0
Zimbabwe,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,2.0,1.0,1.0,2.0,1.75,2.0,1.75,2.0,2.0
